Date,Open,High,Low,Close,Volume
2006/7/3,1677.31,1697.83,1670.02,1697.28,486365.92
2006/7/4,1700.32,1702.66,1670.13,1681.55,543164.92
2006/7/5,1755.22,1757.47,1703.59,1718.56,607208.06
2006/7/6,1715.28,1742.2,1711.65,1741.47,500626.69
2006/7/7,1746.52,1750.03,1724.68,1730.19,494301.27
2006/7/10,1730.7,1737.03,1715.83,1734.33,390495.26
2006/7/11,1736.99,1746.72,1725.23,1745.81,400854.5
2006/7/12,1745.88,1753.28,1738,1740,487858.91
2006/7/13,1736.21,1737.6,1654.49,1655.77,674715.89
2006/7/14,1641.14,1676.75,1633.9,1665.21,415878.04
2006/7/17,1662.05,1684.34,1653.6,1682.89,322039.33
2006/7/18,1682.36,1684.67,1666.31,1684.25,314053.54
2006/7/19,1681.77,1681.77,1637.49,1645.16,350598.3
2006/7/20,1642.62,1658.05,1636.26,1655.12,286611.97
2006/7/21,1653.81,1669.29,1653.51,1665.33,299604.89
2006/7/24,1648.75,1667.62,1632.69,1665.94,311840.08
2006/7/25,1668.14,1690.61,1668.14,1685.46,342378.01
2006/7/26,1688.54,1691.43,1675.66,1686.65,311672.31
2006/7/27,1685.35,1701.61,1665.39,1675.17,362018.31
2006/7/28,1674.43,1678.53,1646.35,1662.03,332689.68
2006/7/31,1659.54,1659.54,1611.16,1612.73,336544.86
2006/8/1,1619.64,1625.04,1596.66,1600.61,323106.6
2006/8/2,1598.76,1608.78,1577.9,1600.87,278657.63
2006/8/3,1599.75,1609.43,1587.12,1601.06,208222.93
2006/8/4,1601.61,1612.1,1567.25,1570.15,258670.54
2006/8/7,1561.8,1570.05,1541.41,1547.44,240992.06
2006/8/8,1547.91,1581.75,1547.91,1580.58,233829.98
2006/8/9,1581.8,1585.17,1571.71,1578.57,216360.36
2006/8/10,1578.35,1606.94,1577.86,1606.07,263231.36
2006/8/11,1605.6,1610.76,1596.22,1605.93,234514.67
2006/8/14,1605.2,1611.66,1566.72,1570.74,256550.5
2006/8/15,1568.27,1596.65,1564.4,1595.66,202592.14
2006/8/16,1596.06,1616.45,1591.86,1616.41,285639.98
2006/8/17,1612.41,1612.41,1592.85,1603.33,233919.04
2006/8/18,1601.57,1614.37,1596.56,1598.02,239742.48
2006/8/21,1565.46,1602.13,1558.1,1601.15,233743.18
2006/8/22,1601.52,1619.07,1598.78,1613.36,267012.11
2006/8/23,1614.39,1621.4,1608.74,1612.4,272129.07
2006/8/24,1612.7,1623.17,1601.89,1623.02,250612.97
2006/8/25,1622.48,1630.05,1619.74,1623.03,278216.14
2006/8/28,1627.12,1651.29,1624.28,1650.44,393412.43
2006/8/29,1652.67,1667.53,1649.59,1651.02,480504.11
2006/8/30,1648.35,1656.23,1640.28,1655.2,314428.58
2006/8/31,1655.9,1661.47,1650,1658.64,351350.16
2006/9/1,1658.66,1660.52,1634.03,1636.69,359545.75
2006/9/4,1635.33,1657.69,1635.12,1657.52,330934.26
2006/9/5,1659.74,1669.9,1657.05,1664.08,405334.93
2006/9/6,1665.13,1672.26,1656.86,1672.12,335796.23
2006/9/7,1683.78,1683.89,1655.41,1661.19,315227.54
2006/9/8,1659.7,1671.31,1658.67,1667.98,265520.28
2006/9/11,1668.16,1675.09,1653.01,1674.97,305905.29
2006/9/12,1675.2,1699.59,1673.44,1695.86,373904.53
2006/9/13,1695.35,1713.99,1687.05,1689.39,430456.91
2006/9/14,1689.63,1696.62,1672.88,1689.69,338882.58
2006/9/15,1689.61,1722.66,1689.51,1721.05,470323.07
2006/9/18,1727.92,1733.41,1719.16,1732.99,448400.62
2006/9/19,1735.3,1743.02,1728.29,1735.24,434553.3
2006/9/20,1733.64,1737.73,1720.84,1732.45,388365.71
2006/9/21,1731.59,1743.63,1731.22,1740.9,395331.46
2006/9/22,1744.61,1746.62,1724.1,1725.36,447778.28
2006/9/25,1722.74,1732.28,1709.77,1722.37,401680.93
2006/9/26,1720.78,1721.58,1704.77,1712.64,331345.3
2006/9/27,1711.51,1725.5,1709.77,1725.04,292471.58
2006/9/28,1725.52,1740.79,1722.22,1736.96,339798.58
2006/9/29,1740.06,1755.69,1740.06,1752.42,412362.85
2006/10/9,1768.14,1786.11,1763.11,1785.39,529351.43
2006/10/10,1784.22,1793.14,1771.86,1784.86,551364.93
2006/10/11,1784.52,1792.76,1771.02,1790.1,492838.82
2006/10/12,1790.63,1792.24,1774.14,1778.18,531690.46
2006/10/13,1776.51,1792.87,1773.23,1784.66,425398.42
2006/10/16,1787.7,1789.18,1766.31,1771.3,467661.6
2006/10/17,1768.63,1777.6,1758.31,1763.9,392623.44
2006/10/18,1762.4,1787.74,1760.88,1787.19,368105.63
2006/10/19,1788.58,1799.29,1784.35,1792.25,414906.07
2006/10/20,1792.6,1801.33,1786.34,1790.36,414615.99
